,,Secured lending facilities,Secured lending facilities,CRE,Residential real estate,Residential real estate,Residential real estate,Residential real estate,Residential real estate,Residential real estate,,
"$in millions December31,",Corporate,,,,,,,Other,,,Total,
2019 Effect of CECL,$,115 $,101 $,34,75 $,,25 $,25 $,33 $,349,349,
adoption,(2),(42),(42),(42),(42),(42),(42),21,(2),(2),,9
Gross charge- offs,,(39),,,(64),,,(1),(1),(1),(105),
Recoveries,,4,4,4,4,4,4,1,4,4,8,
Net (charge-offs),,,,,,,,,,,,
recoveries Provision,(35),,,,(64),,(1),(1),3,(97),,
(release),,225,136,,197,,14,14,(13),559,,
Other,,6,3,,(31),,1,1,37,15,,
"December 31, 2020 $",,309 $,198$,,211$,,59$,59$,58$,835,,
