"At December 31, 2020",Fixed Rate,Variable Rate,Total,"At December 31, 2019"
$ in millions,"$ 6,099","$ 4,354","$ 10,453","$ 7,103"
Original maturities of one year or less:,,,,
Original maturities greater than one year:,2020,"$ 1,270",$ 385,"$ 1,655"
Original maturities greater than one year:,2021,"1,270",385,"1,655"
Original maturities greater than one year:,2022,605,800,"1,405"
Original maturities greater than one year:,2023,191,88,279
Original maturities greater than one year:,2024,96,96,96
Original maturities greater than one year:,2025,38,38,38
Original maturities greater than one year:,Thereafter,23,385,408
Original maturities greater than one year:,Total,"$ 2,127","$ 1,754","$ 3,881"
Weighted average coupon at period-end^3,N/M,0.5 %,0.6 %,2.4 %
