Years to Maturity at December 31, 2020,Less than 1,1-3,3-5,Over 5,Total
$L\text{ in millions}',Less than 1,1-3,3-5,Over 5,Total,
Lending:,Less than 1,1-3,3-5,Over 5,Total,
Corporate,15362,37720,39886,,98864,
Secured lending facilities,5574,4790,1399,271,12034,
Commercial and Residential real estate,432,244,88,244,1008,
Securities-based lending and Other,12178,3063,225,483,15949,
Forward-starting secured financing receivables,57164,,,,57164,
Central counterparty,300,,,,9586,
Underwriting,3037,,,,3037,
Investment activities,804,215,73,316,1408,
Letters of credit and other financial guarantees,174,1,,3,178,
Total,95025,46033,41671,16499,199228,
Lending commitments participated to third parties,,,,$9035,,
Forward-starting secured financing receivables settled within three business days,,,,$54542,,
