,"At December 31,2020","At December 31,2020","At December 31,2020"
,Required Ratio1,Amount,Amount
$in millions Risk-based capital,,,
Common Equity Tier 1 capital,13.2 % $,"78,650",17.4 %
Tier 1 capital,14.7 %,"88,079",19.4 %
Total capital,16.7 %,"97,213",21.5 %
Total RWA,,"453,106",
,Required,,"At December 31,"
$ in millions Leverage-based capital,Ratio1,,2020
Adjusted average assets²,,$,"1,053,310"
Tier1 leverage ratio,,4.0 %,8.4%
Supplementary leverage exposure4,,$,"1,192,506"
SLR,,5.0%,7.4 %
