"$ in millions, exceptper",Shares Outstanding,,Carrying Value,Carrying Value
"$ in millions, exceptper","At Liquidation December 31, Preference 2020",,At December 31， 2020,"At December 31, 2019"
sharedata Series,,perShare,,
A,"44,000","$ 25,000 $","1,100","$ 1,100"
C1,"519,882","1,000",408,408
E,"34,500","25,000",862,862
F,"34,000","25,000",850,850
H,"52,000","25,000","1,300","1,300"
1,"40,000","25,000","1,000","1,000"
J,"60,000","25,000","1,500","1,500"
K,"40,000","25,000","1,000","1,000"
L,"20,000","25,000",500,500
M,"400,000","1,000",430,一
N,"3,000","100,000",300,一
Total,,,"$ 9,250","$ 8,520"
