Pension Plans,2020,,2019
$ in millions,Rollforward of benefit obligation,Rollforward of benefit obligation,Rollforward of benefit obligation
Benefit obligation at beginning of year,"$ 4,026","$ 3,563","$ 4,026"
Service cost,17,16,17
Interest cost,121,139,121
Actuarial loss (gain),362,497,362
Plan amendments,2,-,2
Plan settlements,(2),(9),(2)
Benefits paid,(222),(191),(222)
Other,30,11,30
Benefit obligation at end of year,"$ 4,334","$ 4,026","$ 4,334"
Rollforward of fair value of plan assets,Rollforward of fair value of plan assets,,Rollforward of fair value of plan assets
Fair value of plan assets at beginning of year,"$ 3,553","$ 3,203","$ 3,553"
Actual return on plan assets,600,499,600
Employer contributions,35,36,35
Benefits paid,(222),(191),(222)
Plan settlements,(2),(9),(2)
Other,21,15,21
Fair value of plan assets at end of year,"$ 3,985","$ 3,553","$ 3,985"
Funded (unfunded) status,$ (349),$ (473),$ (349)
Amounts recognized in the balance sheets,Assets,,Assets
Liabilities,(632),(571),Liabilities
Net amount recognized,$ (349),$ (473),Net amount recognized
