At December 31, 2019, Level 1, Level 2, Level 3, Total
Assets, Cash and cash equivalents^1, $3, $, $, $3
Assets, U.S. government and agency securities, 2,658, 292,"$,2,950"
Assets, Corporate and other debt—CDO, $, 9, $, 9
Assets, Other investments, $, $, 53, 53
Assets, Other receivables^1, $, 48, $, 48
Assets, Total, $2,661, $349,"$53,$3,063"
Assets Measured at NAV, Commingled trust funds:, Money market, $137,,
Assets Measured at NAV, Foreign funds:, Fixed income, $136,,
Assets Measured at NAV, Liquidity, $30,,,
Assets Measured at NAV, Targeted cash flow, $240,,,
Assets Measured at NAV, Total, $543,,,
Liabilities, Derivative contracts, $, $, $, $1
Liabilities, Other payables^1, $, $, $, $52
Liabilities, Total liabilities, $, $, $53, $53
Fair value of plan assets, $3,553,,,
