2020 versus 2019,Increase (Decrease) Due to Change in:,Volume,Rate,Net Change
$ in millions,,$,$,$
Interest earning assets,Investment securities^1,$,744,"$,(637),$,107"
Interest earning assets,Loans^1,$,883,"$,(1,524),$,(641)"
Interest earning assets,Securities purchased under agreements to resell and Securities borrowed^2:,U.S.,(275),"$,(3,048),$,(3,323)"
Interest earning assets,Securities purchased under agreements to resell and Securities borrowed^2:,Non-U.S.,(24),"$,(332),$,(356)"
Interest earning assets,"Trading assets, net of Trading liabilities^3:",U.S.,(39),"$,(492),$,(531)"
Interest earning assets,"Trading assets, net of Trading liabilities^3:",Non-U.S.,200,"$,(151),$,49"
Interest earning assets,Customer receivables and Other^4:,U.S.,"1,152","$,(2,661),$,(1,509)"
Interest earning assets,Customer receivables and Other^4:,Non-U.S.,85,"$,(817),$,(732)"
Interest earning assets,Change in interest income,$,"2,726","$,(9,662),$,(6,936)"
Interest bearing liabilities,Deposits^1,$,642,"$,(1,574),$,(932)"
Interest bearing liabilities,"Borrowings^1,^5",$,255,"$,(2,057),$,(1,802)"
Interest bearing liabilities,Securities sold under agreements to repurchase and Securities loaned^6:,U.S.,(145),"$,(1,239),$,(1,384)"
Interest bearing liabilities,Securities sold under agreements to repurchase and Securities loaned^6:,Non-U.S.,(75),"$,(167),$,(242)"
Interest bearing liabilities,Customer payables and Other^7:,U.S.,109,"$,(3,077),$,(2,968)"
Interest bearing liabilities,Customer payables and Other^7:,Non-U.S.,(4),"$,(1,223),$,(1,227)"
Interest bearing liabilities,Change in interest expense,$,782,"$,(9,337),$,(8,555)"
Interest bearing liabilities,Change in net interest income,$,"1,944","$,(325),$,1,619"
