Part,Item,Page
7,Derivative Instruments and Hedging Activities,110
8,Investment Securities,114
9,Collateralized Transactions,116
10,"Loans, Lending Commitments and Related Allowance for Credit Losses",118
11,Goodwill and Intangible Assets,121
12,Other Assets—Equity Method Investments and Leases,122
13,Deposits,123
14,Borrowings and Other Secured Financings,123
15,"Commitments, Guarantees and Contingencies",125
16,Variable Interest Entities and Securitization Activities,130
17,Regulatory Requirements,133
18,Total Equity,136
19,Interest Income and Interest Expense,139
20,Deferred Compensation Plans and Carried Interest Compensation,139
21,Employee Benefit Plans,141
22,Income Taxes,144
23,"Segment, Geographic and Revenue Information",145
24,Parent Company,148
Financial Data Supplement (Unaudited),151,
Glossary of Common Terms and Acronyms,155,
Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,9,157
Controls and Procedures,9A,157
Other Information,9B,159
Unresolved Staff Comments,1,"1B,159"
Properties,2,159
Legal Proceedings,3,159
Mine Safety Disclosures,4,163
"Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",II,"5,163"
"Directors, Executive Officers and Corporate Governance",III,"10,164"
Executive Compensation,11,164
Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,12,164
Certain Relationships and Related Transactions and Director Independence,13,164
Principal Accountant Fees and Services,14,164
Exhibits and Financial Statement Schedules,IV,"15,164"
Form 10-K Summary,16,168
Signatures,168,
