,,,,% Change,% Change
$ in millions,2020,2019,2018,2020,2019
Revenues,,,,,
Investment banking,"$7,204","$5,734","$ 6,088",26%,(6)%
Trading,"13,106","10,318","11,191",27%,(8)%
Investments,166,325,182,(49)%,79%
Commissions and fees,"2,935","2,484","2,671",18%,(7)%
Asset management,461,413,421,12%,(2)%
Other,(214),632,535,(134)%,18%
Total non-interest revenues,"23,658","19,906","21,088",19%,(6)%
Interest income,"5,809","12,193","9,271",(52)%,32%
Interest expense,"3,519","11,713","9,777",(70)%,20%
Net interest,"2,290",480,(506),N/M,195%
Net revenues,"25,948","20,386","20,582",27 %,(1)%
Compensation and benefits,"8,342","7,433","6,958",12 %,7%
Non-compensation expenses,"8,455","7,463","7,364",13%,1%
Total non-interest expenses,,,,,
Income from continuing,"16,797","14,896","14,322",13%,4%
operationsbefore income taxes Provision for income,"9,151","5,490","6,260",67 %,(12)%
taxes Income from continuing,"2,040",769,"1,230",165%,(37)%
operations Income (loss) from,"7,111","4,721","5,030",51%,(6)%
"discontinued operations, net of income taxes",,,,,
Net income,1,"一 4,721","(6) 5,024",N/M,100% (6)%
Net income applicable,"7,111",,,51%,
to noncontrolling interests,99,122,118,(19)%,3%
Net income applicable,,,,,
toMorganStanley,"$7,012",,,,
,,"$4,599",,,
,,,"$4,906",,
,,,,52%,(6)%
