,"At December 31, 2020","At December 31, 2020","At December 31, 2019"
,Standardized Advanced,,Standardized and Advanced
Capital buffers Capital conservation buffer,,2.5%,2.5%
"Stress capital buffer(""SCB"")1",5.7%,N/A,N/A
G-SIB capital surcharge²,3.0%,3.0%,3.0%
CCyB,0%,0%,0%
Capital buffer requirement4,8.7%,5.5%,5.5%
,"At December 31,",,"At December 31,"
Regulatory Minimum,Standardized Advanced,2020,2019 Standardized and Advanced
Required ratios,,,
Common Equity Tier 1 capital ratio,4.5% 13.2%,10.0%,10.0%
Tier 1 capital ratio,6.0% 14.7%,11.5%,11.5%
Total capital ratio,8.0% 16.7%,13.5%,13.5%
