DKK million,Share capital,Treasury shares,Retained earnings,Other reserves,Total,Share capital,Treasury shares,Retained earnings,Other reserves,Total,Share capital,Treasury shares,Retained earnings,Other reserves,Total
Balance at the beginning of the year,480,-10,57817,-694,57593,490,-11,53406,-2046,51839,500,-11,48887,439,49815
Net profit,42138,0,42138,0,42138,38951,0,38951,0,38951,38628,0,38628,0,38628
Other comprehensive income,-67,-543,-610,-187,1165,87,-2485,87,-2485,2398,38715,-2485,38715,-2485,36230
Total comprehensive income,42071,-543,41528,38764,40116,38764,1352,40116,38764,40116,38715,-2485,36230,,
Transfer of cash flow hedge reserve to intangible assets,326,0,326,0,326,0,0,0,0,0,0,0,0,0,0
Transactions with owners:,0,-20121,-20121,-19409,-19409,-19048,-19048,-19048,-19048,-19048,-19048,-19048,-19048,-19048,-19048
Dividends (note 4.1),0,-20121,-20121,-19409,-19409,-19048,-19048,-19048,-19048,-19048,-19048,-19048,-19048,-19048,-19048
Share-based payments (note 5.1),823,0,823,0,823,363,0,363,0,363,414,0,414,0,414
Tax related to restricted stock units,31,0,31,0,31,18,0,18,0,18,-5,0,-5,0,-5
Purchase of treasury shares (note 4.1),-8,-16847,-16855,-15325,-15334,-15557,-15567,-15570,-15567,-15570,-15567,-15567,-15567,-15567,"-15567,-15567"
Reduction of the B share capital (note 4.1),-10,10,0,-10,0,-10,10,0,10,0,0,0,0,0,"0,0"
Balance at the end of the year,470,-8,63774,-911,63325,480,-10,57817,-694,57593,490,-11,53406,-2046,51839
