,"Property, plant and equipment",Intangible,,,,,
,"Property, plant and equipment",Intangible,assets Inventories,Liabiities,,Offset within Other countries,Total
DKK million 2020,,,,,,,
Net deferred tax asset/(liability)at 1 January,"(1,591)",(718),"1,811","3,452","1,087",,"4,041"
Income/(charge)to the income statement,(47),"(2,883)",963,"1,449",520,,2
Income/(charge) to other comprehensive income,,92,(216),16,(469),,(577)
Income/(charge) to equity,,(92),,,20,,(72)
Acquisition of subsidiaries,,,,,276,,276
Effect of exchange rate adjustment,24,1,(2),(300),(30）,,
Net deferred tax asset/(liability) at 31 December,"(1,614)","(3,600)","2,556","4,617","1,404",,"(307) 3,363"
Classified as follows:,,,,,,,
Deferred tax asset at 31 December,755,46,"2,568","4,895","2,903","(5,302)",
Deferred tax liability at 31 December,"(2,369)","(3,646)",(12),(278),"(1,499)","5,302","5,865 (2,502)"
2019,,,,,,,
Net deferred tax asset/(liability)at 1 January,(703),(564),973,"2,402",667,,
"Change in accounting policy,leases",(865),,,865,,,"2,775"
Income/(charge)to the income statement,(5),(155),820,133,689,,1
Income/(charge)to other comprehensive income,,,18,47,(296),,"1,482"
Income/(charge) to equity,,,,,,,(231)
Disposal of subsidiaries,,,,,18,,18
Effect of exchange rate adjustment,一,,,(18),1,,(18)
,(18),1,,23,9,,15
Net deferred tax asset/(liability)at 31 December Classified as follows:,"(1,591)",(718),"1,811","3,452","1,087",,"4,041"
Deferred tax asset at 31 December,769,58,"3,428","3,580","1,843",,
,,,,,,"(5,557)","4,121"
Deferred tax liability at 31 December,"(2,360)",(776),"(1,617)",(128),(756),"5,557",(80)
