DKK million,Land and buildings,Other equipment,Total
2020,Balance at 1 January,"3,029","503,3,532"
2020,Additions during the year,660,"318,978"
2020,Depreciation for the year,(644),"(320),(964)"
2020,Effect of exchange rate adjustment,(144),"(22),(166)"
2020,Balance at 31 December,"2,901","479,3,380"
2019,Balance at 1 January,"3,291","487,3,778"
2019,Additions during the year,333,"307,640"
2019,Depreciation for the year,(564),"(288),(852)"
2019,Effect of exchange rate adjustment,(31),"(3),(34)"
2019,Balance at 31 December,"3,029","503,3,532"
