Reconciliation of liabilities arising from financing activities,Non-cash movements,End of the year
DKK million,Beginning of the year,"Cash flows,Additions,Disposals,Exchange rates,Other"
2020,,
Lease liabilities,"3,824","(950),978,—,(171),(9),3,672"
Loans,—,"5,582,—,—,(5),—,5,577"
Bank overdrafts¹,595,"100,—,—,(119),—,576"
Liabilities arising from financing activities,"4,419","4,732,978,—,(295),(9),9,825"
Bank overdrafts¹,64,"467,—,—,—,—,531"
Total borrowings,"4,483","5,199,978,—,(295),(9),10,356"
2019,,
Lease liabilities,"3,988","(822),640,(57),63,12,3,824"
Bank overdrafts¹,506,"81,—,—,8,—,595"
Liabilities arising from financing activities,"4,494","(741),640,(57),71,12,4,419"
Bank overdrafts¹,9,"55,—,—,—,—,64"
Total borrowings,"4,503","(686),640,(57),71,12,4,483"
