,Note,2020,2019,2018
Environmental performance,,,,
Resources,,,,
"Energy consumption for operations (1,000 GJ)",7.1,"3,191","2,993","3,099"
Share of renewable power for production sites,7.1,100%,76%,77%
"Water consumption for production sites (1,000 m²)",7.2,"3,368","3,149","3,101"
Emissions and waste,,,,
"CO2 emissions from operations and transportation (1,000 tonnes)",7.3,170,306,278
"Waste from production sites(1,000 tonnes)",7.4,141,124,142
Social performance,,,,
Patients,,,,
Patients reached with Novo Nordisk's Diabetes care products (estimate in millions),8.1,32.8,30.0,
- Hereof reached via the Novo Nordisk Access to Insulin Commitment (estimate in millions),8.1,3.2,2.9,29.2
Children reached through the Changing Diabetes in Children programme (CDiC) (cumulative),8.1,"28,296","25,695",0.3
Donations and other contributions (DKK million),8.2,158,105,"22,876"
,,,,103
Employees,,,,
Employees (total),8.3,"45,323","43,258","43,202"
Employee turnover Employee engagement1,8.3,7.9%,11.4%,11.7%
Frequency of occupational accidents (number per million working hours),8.3,N/A,91%,91%
,8.4,1.3,2.2,2.4
Other,,,,
Animals purchased for research Gender in management (ratio men:women),8.5,"50,036","49,637","65,593"
Gender in BoD (ratio men:women),8.6,59:41,60:40,60:40
,8.6,62:38,62:38,67:33
Governance performance,,,,
Relevant employees trained in business ethics,9.1,99%,,
Business ethics reviews,9.1,32,99% 34,99%
Facilitations of the Novo Nordisk Way (total),9.2,26,32,33
Supplier audits,9.3,177,236,63
Product recalls,9.4,,,294
Failed inspections,9.5,,4,3
Company trust (scale 0-100),,,,1
,9.6,80.6,78.2,84.5
Total tax contribution (DKK million),9.7,"26,376","27,527","25,825"
Breaches of environmental regulatory limit values,9.8,15,16,27
