Target Annual Incentive,Annual base salary,x,Target incentive (% of base salary),=,Target Annual Incentive
On-target opportunities,CEO: 150% of annual base salary,,Other Executive Committee members: 80% to 120% of annual base salary,,
Performance measures,An Annual Incentive balanced scorecard containing:,,"Financial performance measures related to Group, division or business unit, where relevant (60% weighting)",,
,,,"Five key strategic objectives in the areas of innovation, operational excellence, data and digital, people and culture, and building trust with society (40% weighting)",,
,,,The 2021 balanced scorecard targets and achievements of the CEO are detailed on the next page.,,
,,,"The 2021 balanced scorecards for other Executive Committee members include Group financial targets as well as financial or other quantitative targets that relate to their division or business unit, if applicable.",,
,,,"Values and Behaviors are a key component of the Annual Incentive and are embedded in our culture. As such, members of the Executive Committee are expected to demonstrate these to the highest standards.",,
Target setting,Financial targets are set at the beginning of each financial year and align with the strategic plan proposed by management to the Board of Directors for approval.,,The strategic objectives are aligned with the most important priorities in any performance year.,,
Payout ranges,"The payout schedule for the Annual Incentive incorporates performance against financial and strategic objectives. The payout range is 0% to 200% of on-target opportunity based on performance, as shown below:",,,,
Performance,PAYOUT (% of on-target),,,,
Outstanding,170% – 200%,,,,
Exceeds expectations,130% – 160%,,,,
Meets expectations,80% – 120%,,,,
Partially meets expectations,40% – 70%,,,,
Below expectations,0%,,,,
Payout formula,Annual base salary,x,Target incentive (% of base salary),x,"Payout factor (% of target: 0%-200%),=,Realized Annual Incentive"
Payout vehicle,"At the end of the performance period, 50% is paid in cash, and the remaining 50% is delivered in Novartis restricted shares or RSUs, deferred for three years (see “—Executive Committee compensation system”).",,"Executives may choose to receive all or part of the cash portion of their Annual Incentive in Novartis shares or American Depositary Receipts (ADRs; US only) that will not be subject to forfeiture conditions. In the US, awards may also be delivered in cash under the US-deferred compensation plan.",,
"Dividend rights, voting rights and settlement",Novartis restricted shares carry voting rights and dividends during the vesting period. RSUs are of equivalent value but do not carry voting rights and dividends during the vesting period.,,"Following the vesting period, settlement of RSUs is made in unrestricted Novartis shares or ADRs.",,
