,Board,Audit and Compliance,Compensation,Nomination and Corporate Responsibilities,Science & Technology,Risk,Shares,Cash (CHF),Shares (CHF),Other (CHF),Total (CHF)
,membership,Committe,Committee,Committe,Committee,Committee,(number)1,(A),(B),(C）²,(A)+(B)+(C)3
"Board members active on December 31,2020",,,,,,,,,,,
Joerg Reinhardt4,Chairman,,,,Chair,,22 629,1900 000,1900 000,4501,3804501
Enrico Vanni,Vice Chairman,,Chair,,,,3156,265000,265000,3614,533614
Nancy C.Andrews,·,,,,,,2143,180 000,180000,二,360000
Ton Buechner,,,,,,·,3508,29167,354167,4501,387835
Patrice Bula,,,,,,,2750,133333,186 666,4501,324500
Srikant Datar,·,·,,,,Chair,3348,153333,306 666,,459999
Elizabeth Doherty,,Chair,,,,。,3424,131250,318750,,450 000
Ann Fudge,.,,,,,,2249,183333,183333,,366 666
Bridgette Heller5,,,,,,,1059,133333,133333,,266 666
Frans van Houten,,,,,.,,3810,,320000,,320000
Simon Moroney5,,,,,.,,1059,133333,133333,4501,271 167
Andreas von Planta,,,,Chair,,,2739,230 000,230000,4501,464501
Charles L.Sawyers,.,,,。,,,2 143,180 000,180000,,360000
William T.Winters,.,,,。5,,,4287,,360000,,360000
Total,,,,,,,58304,3652082,,,5 051248 26118 8729 448
