(USD millions),Note,2021,20201
Assets,,,
Non-current assets,,,
"Property,plant and equipment",9,11545,12 263
Right-of-use assets,10,1561,1676
Goodwill,11,29 595,29999
Intangible assets other than goodwill,11,34182,36809
Investments in associated companies,4,205,9632
Deferred taxassets,12,3743,3933
Financial assets,13,3036,2901
Other non-current assets,13,2210,892
Total non-current assets,,86077,98105
Current assets,,,
Inventories,14,6666,7131
Trade receivables,15,8005,8217
Income tax receivables,,278,239
"Marketable securities, commodities, time deposits and derivative financial instruments",16,15922,1905
Cash and cash equivalents,16,12 407,9658
Other current assets,17,2 440,2523
Total current assets,,45718,29673
Total assets,,131795,127 778
