Between two and three years,162,198,186,226
Lease liabilities,,Lease liabilities undiscounted,,
,2021,2021,2020,2020
Less than one year,275,324,286,338
Between one and two years,216,258,229,274
Between two and three years,162,198,186,226
Between three and four years,139,172,148,183
Between three and four years,139,172,148,183
Between four and five years,122,154,129,160
After five years,982,2 243,1 027,2 326
Total lease liabilities,1 896,3 349,2 005,3 507
Less current portion of lease liabilities,-275,-324,-286,-338
Non-current portion of lease liabilities,1 621,3 025,1 719,3 169
Less current portion of lease liabilities,-275,-324,-286,
Non-current portion of lease liabilities Commitments for leases not yet commenced,1621,3025 134,1719,3169 4
