Level1,Level2,Level3,Total
Financial assets,Debt securities,26,"26,26"
,Total marketable securities,26,"26,26"
,Derivative financial instruments,159,"159,159"
,Total marketable securities and derivative financial instruments,185,"185,185"
,Debt and equity securities,1153,"460,1613"
,Fund investments,30,"336,366"
,Contingent consideration receivables,625,"625,625"
,Total long-term financial investments,1183,"1421,2604"
,Associated companies at fair value through profit and loss,211,"211,211"
Financial liabilities,Contingent consideration payables,-1046,"-1046,-1046"
,Other financial liabilities,-23,"-23,-23"
,Derivative financial instruments,-194,"-1069,-1263"
,Total financial liabilities at fair value,-194,"-1069,-1263"
