Location,Size of site (in square meters),Major activity
"Basel,Switzerland-St.Johann",589 000,Global Group headquarters; global Innovative Medicines Division headquarters; global Sandoz Division headquarters; research and development; production of drug substances and drug intermediates
"Kundl and Schaftenau, Austria",480000,"Production of biotechnological products,drug products and finished products, anti-infectives,active drug substances and nucleic acids; product development"
"East Hanover, New Jersey",391000,Innovative Medicines Division US headquarters; research and development
"Barleben, Germany",340000,Production of broad range of generics finished dosage forms
"Cambridge, Massachusetts",201800,Research and development
"Menges, Slovenia",133 763,Production of drug substances and drug intermediates
"Shanghai, China",106500,Research and development
"Stein, Switzerland",64700,"Production of sterile vials,pre-filed syringes and ampoules; inhalation capsules, tablets and transdermals; active pharmaceutical ingredients;and celland gene therapies"
"Holzkirchen, Germany",64 200,Sandoz Division production of transdermal delivery systems and certain international and global service functions.
"Huningue, France",35000,Production of drug substances for clinical and commercial supply
"Princeton,New Jersey",14 300,Sandoz Division US headquarters
"Libertyville, linois",9800,"Production,warehouse and administrative ofices for the Novartis Gene Therapies unit within the Innovative Medicines Division"
