,,,,Change in Change constant currencies
,"Year ended Dec 31,2021","Year ended Dec31,2020",in USD %,Change in Change constant currencies
(USD millions unless indicated otherwise) Operating income from continuing operations,11 689,10152,15,% 13
Income from associated companies,15339,673,nm,nm
Interest expense,-811,-869,7,6
Other financial income and expense,-80,-78,-3,44
Income before taxes from continuing operations,26137,9878,165,163
Income taxes,-2119,-1807,-17,-17
Net income,24018,8071,198,195
Attributable to:,,,,
Shareholders of Novartis AG,24021,8072,198,195
Non-controlling interests,-3,-1,-200,-200
Total basic earnings per share (USD),10.71,3.55,202,200
