Total,Less than 1 year,2-3 years,4-5 years,After 5 years
"Non-current financial debt, including current portion",25 523,2 621,4 486,3 977
"Interest on non-current financial debt, including current portion",6 063,527,913,715
"Lease liabilities, non-current and current portion",1 896,275,378,261
"Interest on lease liabilities, non-current and current portion",1 453,49,78,65
Commitments for leases not yet commenced,134,2,10,22
Unfunded pensions and other post-employment benefit plans,1 614,110,214,207
Research and development potential milestone commitments,6 743,602,1 560,742
Contingent consideration liabilities,1 075,119,304,213
"Property, plant and equipment purchase commitments",204,159,41,1
Acquisition of business commitments on transaction entered into but not closed in 2021^1,1 500,800,300,400
Total contractual cash obligations,46 205,5 264,8 284,6 203
