,Fair Value Hierarchy,2020,2020,2020,2019,2019,2019
,Fair Value Hierarchy,Assets(a),,Liabilities(a）Assets(a),,,Liabilities(a)
Index funds (b),Levels(a),$,231 $,,,229,
Prepaid forward contracts (c,,$,18$,,丨$,17$,
Deferred compensation (@),,S,,,477 $,,468
Contingent consideration (),3,$,,-$861$-$,,,
Derivatives designated as fair value hedging instruments:,,,,,,,
Interest rate (t),2,,,,,,$2$-$-$5
Derivatives designated as cash flow hedging instruments:,,,,,,,
Foreign exchange g,2,$,,,,,9$71$5$32
Interest rate (g),2,,13,307,,,390
Commodity (h),,,,,,2,5
Commodity (i),,,32,,,,
,,,,,,,$ 54$378$9$432
Derivatives not designated as hedging instruments:,,,,,,,
Foreign exchange (g),2,$,4$,,8$,3$,2
Commodity,,,,,,23,7
Commodity (i),2,,19,,7,6,24
,,$,23$,,15$,32 $,33
Total derivatives at fair value (),,$,79$,,393$,41$,470
Total,,$,328 $,"1,731$",,287$,938
