,YearEnded,YearEnded,% Change
,"December 26,2020","December 28,2019",% Change
"Reported diluted EPS, GAAP measure",$ 5.12,$5.20,(2)%
Mark-to-market net impact,(0.04),(0.06),
Restructuring andimpairment charges,0.17,0.21,
Inventory fair value adjustments and merger and,0.17,,
integration charges Pension-related settlement charges,0.11,0.03 0.15,
Net tax related to the TCJ Act,1,(0.01),
"Core diluted EPS, non-GAAP measure",$ 5.52,$ 5.53,-%
"Impact of foreign exchange translation Core constant currency diluted EPS growth,",,,2
