Name,Age,Title
Marie T. Gallagher,61,"Senior Vice President and Controller, PepsiCo"
Hugh F. Johnston,59,"Vice Chairman, PepsiCo; Executive Vice President and Chief Financial Officer, PepsiCo"
Ramon L. Laguarta,57,"Chairman of the Board of Directors and Chief Executive Officer, PepsiCo"
Silviu Popovici,53,"Chief Executive Officer, Europe"
Paula Santilli,56,"Chief Executive Officer, Latin America"
Ronald Schellekens,56,"Executive Vice President and Chief Human Resources Officer, PepsiCo"
Kirk Tanner,52,"Chief Executive Officer, PepsiCo Beverages North America"
Eugene Willemsen,53,"Chief Executive Officer, Africa, Middle East, South Asia"
Steven Williams,55,"Chief Executive Officer, PepsiCo Foods North America"
David Yawman,52,"Executive Vice President, General Counsel and Corporate Secretary, PepsiCo"
