Reportable Segments Net Sales ① Earnings (),%of,% of Net,Product Categories (Sub-Categories),Major Brands
Beauty,18%,22%,"Hair Care (Conditioner, Shampoo, Styling Aids, Treatments) Skin and Personal Care (Antiperspirant and","Head & Shoulders, Herbal Essences, Pantene, Rejoice Olay, Old Spice, Safeguard,"
Grooming,8%,10%,"Deodorant, Personal Cleansing, Skin Care) Grooming(2) (Shave Care - Female Blades & Razors, Male Blades & Razors,Pre- and Post-Shave","Secret, SK-II Braun, Gillette, Venus"
Health Care,14%,14%,"Products, Other Shave Care; Appliances) Oral Care (Toothbrushes, Toothpaste, Other Oral","Crest, Oral-B"
Health Care,14%,14%,Care),"Crest, Oral-B"
Health Care,14%,14%,"Personal Health Care (Gastrointestinal, Rapid Diagnostics, Respiratory, Metamucil, Neurobion,","Crest, Oral-B"
Fabric & Home Care,35%,31%,"Vitamins/Minerals/Supplements,Pain Relief, Other Personal Health Care)","Pepto-Bismol, Vicks"
Fabric & Home Care,35%,31%,"Fabric Care (Fabric Enhancers,Laundry Additives, Laundry Detergents) Home Care (Air Care, Dish Care, P&G Professional, Cascade, Dawn,Fairy,","Ariel, Downy, Gain,Tide"
"Baby, Feminine & Family Care",25%,23%,Surface Care),"Febreze,Mr. Clean, Swiffer"
"Baby, Feminine & Family Care",25%,23%,"Baby Care (Baby Wipes, Taped Diapers and Pants)","Luvs, Pampers"
"Baby, Feminine & Family Care",25%,23%,"Feminine Care (Adult Incontinence, Feminine Care) Family Care (Paper Towels, Tissues, Toilet Paper)","Always, Always Discreet, Tampax Bounty, Charmin, Puffs"
