Years ended June 30,2022,2021,2020
CONSOLIDATED AMOUNTS,Net earnings,"$ 14,793","$ 14,352"
CONSOLIDATED AMOUNTS,Less: Net earnings attributable to noncontrolling interests,51,46
CONSOLIDATED AMOUNTS,Net earnings attributable to P&G,"14,742","14,306"
CONSOLIDATED AMOUNTS,Less: Preferred dividends,281,271
CONSOLIDATED AMOUNTS,Net earnings attributable to P&G available to common shareholders (Basic),"$ 14,461","$ 14,035"
CONSOLIDATED AMOUNTS,Net earnings attributable to P&G available to common shareholders (Diluted),"14,742","14,306"
SHARES IN MILLIONS,,,
SHARES IN MILLIONS,Basic weighted average common shares outstanding,2410.3,2465.8
SHARES IN MILLIONS,Add effect of dilutive securities:,,
SHARES IN MILLIONS,Stock options and other unvested equity awards (1),49.5,52.5
SHARES IN MILLIONS,Convertible preferred shares (2),79.3,82.7
SHARES IN MILLIONS,Diluted weighted average common shares outstanding,2539.1,2601.0
NET EARNINGS PER SHARE (3),,,
NET EARNINGS PER SHARE (3),Basic,$ 6.00,$ 5.69
NET EARNINGS PER SHARE (3),Diluted,$ 5.81,$ 5.50
