Years ended June 30,Pension Benefits,Pension Benefits,Pension Benefits,Other Retiree Benefits,Other Retiree Benefits,Other Retiree Benefits
Years ended June 30,2022,2021,2020,2022,2021,2020
AMOUNTS RECOGNIZED IN NET PERIODIC BENEFIT COST/(CREDIT),AMOUNTS RECOGNIZED IN NET PERIODIC BENEFIT COST/(CREDIT),AMOUNTS RECOGNIZED IN NET PERIODIC BENEFIT COST/(CREDIT),AMOUNTS RECOGNIZED IN NET PERIODIC BENEFIT COST/(CREDIT),AMOUNTS RECOGNIZED IN NET PERIODIC BENEFIT COST/(CREDIT),AMOUNTS RECOGNIZED IN NET PERIODIC BENEFIT COST/(CREDIT),AMOUNTS RECOGNIZED IN NET PERIODIC BENEFIT COST/(CREDIT)
Service cost $ 253 $ 275 $ 247 $ 86 $ 94 $ 100,,,,,,
Interest cost,253,240,276,99,114,160
Expected return on plan assets,(684),（783）,(740),(564),(508),(473)
Amortization of net actuarial loss,337,423,340,11,47,68
Amortization of prior service cost/(credit),28,25,25,(107),(60),(48)
Amortization of net actuarial (gain)/loss due to settlements,(5),5,7,,,
Special termination benefits,4,17,11,1,2,2
GROSS BENEFIT COST/(CREDIT),186,202,166,(474),(311),(191)
Dividends on ESOP preferred stock,,,,,8,(19)
NET PERIODIC BENEFIT COST/(CREDIT),$ 186 $ 202,,,2$ 166$ (474) $ (319),,$ (210)
CHANGE IN PLAN ASSETS AND BENEFIT OBLIGATIONS RECOGNIZED IN AOCI,CHANGE IN PLAN ASSETS AND BENEFIT OBLIGATIONS RECOGNIZED IN AOCI,CHANGE IN PLAN ASSETS AND BENEFIT OBLIGATIONS RECOGNIZED IN AOCI,CHANGE IN PLAN ASSETS AND BENEFIT OBLIGATIONS RECOGNIZED IN AOCI,CHANGE IN PLAN ASSETS AND BENEFIT OBLIGATIONS RECOGNIZED IN AOCI,CHANGE IN PLAN ASSETS AND BENEFIT OBLIGATIONS RECOGNIZED IN AOCI,CHANGE IN PLAN ASSETS AND BENEFIT OBLIGATIONS RECOGNIZED IN AOCI
Net actuarial loss/(gain) - current year,"$(2,150) $ (741)",,,"$ (548) $(1,049)",,
Prior service cost/(credit) - current year,5,34,,(586),,
Amortization of net actuarial loss,(337),(423),,(11),(47),
Amortization of prior service (cost)/credit,(28),(25),,107,60,
Amortization of net actuarial loss/(gain) due to settlements,,,,,,
Currency translation and other,5 (486),(5) 367,,,,
TOTAL CHANGE IN AOCI,"(2,991)",(793),,"13 (1,025)","(1,036)",
NET AMOUNTS RECOGNIZED IN PERIODIC,,,,,,
BENEFIT COST/(CREDIT) AND AOCI,"$ (2,805)",）$ (591),,"$ (1,499)","$(1,355)",
