Years ended June 30,2022,2021,2020,2019,2018
Diluted net earnings pershare from continuingoperations,$5.81,$5.50,$4.96,$1.43,$3.67
Early debt extinguishmentcharge,,$0.16,,,$0.09
Incremental restructuringcharges,=,,$0.16,$0.13,$0.23
Gain on dissolution of PGTHealthcare partnership,,,1,$(0.13),
Shave Care impairment,,=,1,$3.03,1
Anti-dilutive impacts,,-,1,$0.06,1
Transitional impactsof the U.S.Tax Act,1,1,-,1,$0.23
Core EPS,$5.81,$5.66,$5.12,$4.52,$4.22
Core EPS growth,3%,,,,
Currency Impactto Core Earnings,$0.11,,,,
Currency neutral Core EPS,$5.92,,,,
Currency neutralCore EPS growth,5%,,,,
