Market,Total Market,Total Market,PMI Shipments (billion units),PMI Shipments (billion units),PMI Shipments (billion units),PMI Shipments (billion units),PMI Shipments (billion units),PMI Shipments (billion units),PMI Market Share (%)(l),PMI Market Share (%)(l),PMI Market Share (%)(l),PMI Market Share (%)(l)
Market,(billion units),(billion units),Total,Total,Cigarette,Cigarette,Heated Tobacco Unit,Heated Tobacco Unit,Total,Total,Heated Tobacco Unit,Heated Tobacco Unit
Market,2020,2019,20202019,,2020,2019,2020,2019,2020,2019,2020,2019
Total,"2,548.4 2,705.0",,,704.6766.4,,628.5706.7,,76.159.7,27.7,1 28.4,3.0,）2.2
European Union,,,,,,,,,,,,
France,36.6,37.9,,16.317.0,16.1,16.9,0.2,0.1,44.9,45.0,0.5,0.2
Germany,74.6,73.3,29.1,27.9,27.4,27.0,1.6,0.9,39.0,38.0,2.2,1.2
Italy,67.4,67.9,34.6,34.9,29.0,31.4,5.6,3.5,52.2,51.8,8.1,4.8
Poland,45.6,46.2,17.8,19.0,15.4,17.9,2.4,1.1,39.0,41.2,5.2,2.5
Spain,41.8,45.4,13.2,14.5,12.8,14.1,0.4,0.3,31.4,31.3,1.0,0.7
Eastern Europe,,,,,,,,,,,,
Russia,,219.1 226.5,,69.2 68.0,,55.6 58.8,,13.69.2,32.3,30.1,6.3,3.8
Middle East & Africa,,,,,,,,,,,,
Saudi Arabia,21.7,20.8,9.1,9.2,9.0,9.2,0.1,,39.0,43.0,0.3,
Turkey,114.8,119.7,47.5,51.9,47.5,51.9,,,41.3,43.4,,
South & Southeast Asia,,,,,,,,,,,,
Indonesia Philippines,276.3,305.7,79.5,98.5,79.5,98.5,,,28.8,32.2,,
,62.1,70.5,41.7,49.7,41.7,49.7,,,67.2,70.5,0.1,
East Asia & Australia,,,,,,,,,,,,
Australia,11.012.0,,,3.33.3,,3.33.3,,,29.9,27.5,,
Japan,142.9,157.8,51.1,52.4,22.2,26.6,28.9,25.8,37.1,34.5,20.4,17.1
Korea,71.6,68.6,14.8,15.5,10.2,10.8,4.6,4.6,20.7,22.6,6.5,6.8
Latin America & Canada,,,,,,,,,,,,
Argentina Mexico,33.6,33.4,,20.523.3,,20.523.3,,,61.0 63.7,70.0,,
,30.7,35.5,19.5,23.8,19.5,23.8,0.1,,,67.1,0.2,
