Title of each class,Trading Symbol(s),Name of each exchange on which registered
"Common Stock, no par value",PM,New York Stock Exchange
1.875% Notes due 2021,PM21B,New York Stock Exchange
4.125% Notes due 2021,PM21,New York Stock Exchange
2.900% Notes due 2021,PM21A,New York Stock Exchange
2.625% Notes due 2022,PM22A,New York Stock Exchange
2.375% Notes due 2022,PM22B,New York Stock Exchange
2.500% Notes due 2022,PM22,New York Stock Exchange
2.500% Notes due 2022,PM22C,New York Stock Exchange
2.625% Notes due 2023,PM23,New York Stock Exchange
2.125% Notes due 2023,PM23B,New York Stock Exchange
3.600% Notes due 2023,PM23A,New York Stock Exchange
2.875% Notes due 2024,PM24,New York Stock Exchange
2.875% Notes due 2024,PM24C,New York Stock Exchange
0.625% Notes due 2024,PM24B,New York Stock Exchange
3.250% Notes due 2024,PM24A,New York Stock Exchange
2.750% Notes due 2025,PM25,New York Stock Exchange
3.375% Notes due 2025,PM25A,New York Stock Exchange
