Name and Principal Position\tYear\tSalary\tBonus\tUnit Awards\tOption Awards\tNon-Equity Incentive Compensation Plan\tChange in Pension Value and Nonqualified Deferred Compensation Earnings\tAll Other Compensation\tTotal
Kevin M. Nichols, President and Chief Executive Officer\t2020\t-\t-\t-\t-\t-\t-\t-\t-
Kevin M. Nichols, President and Chief Executive Officer\t2019\t-\t-\t-\t-\t-\t-\t-\t-
Kevin M. Nichols, President and Chief Executive Officer\t2018\t-\t-\t-\t-\t-\t-\t-\t-
Shawn J. Carsten, Vice President and Chief Financial Officer\t2020\t-\t-\t-\t-\t-\t-\t-\t-
Shawn J. Carsten, Vice President and Chief Financial Officer\t2019\t-\t-\t-\t-\t-\t-\t-\t-
Shawn J. Carsten, Vice President and Chief Financial Officer\t2018\t-\t-\t-\t-\t-\t-\t-\t-
Lori M. Muratta, Vice President, General Counsel and Secretary\t2020\t-\t-\t-\t-\t-\t-\t-\t-
Lori M. Muratta, Vice President, General Counsel and Secretary\t2019\t-\t-\t-\t-\t-\t-\t-\t-
Lori M. Muratta, Vice President, General Counsel and Secretary\t2018\t-\t-\t-\t-\t-\t-\t-\t-
Alton G. Smith, Vice President, Operations\t2020\t-\t-\t-\t-\t-\t-\t-\t-
Alton G. Smith, Vice President, Operations\t2019\t-\t-\t-\t-\t-\t-\t-\t-
Alton G. Smith, Vice President, Operations\t2018\t-\t-\t-\t-\t-\t-\t-\t-
Jesse C. H. Stanley, Vice President, Operations\t2020\t-\t-\t-\t-\t-\t-\t-\t-
Jesse C. H. Stanley, Vice President, Operations\t2019\t-\t-\t-\t-\t-\t-\t-\t-
Jesse C. H. Stanley, Vice President, Operations\t2018\t-\t-\t-\t-\t-\t-\t-\t-
Steven C. Ledbetter, Vice President, Commercial\t2020\t-\t-\t-\t-\t-\t-\t-\t-
