Name,Age,Position with Shell Midstream Partners GP LLC
Paul R. A. Goodfellow,,"55Director, Chairman of the Board of Directors"
Kevin M. Nichols (l),,"53Director, Chief Executive Officer and President"
Shawn J. Carsten,,"54Director, Vice President and Chief Financial Officer"
Lori M. Muratta,,"55Vice President, General Counsel and Secretary"
Jesse C. H. Stanley (2),,"36 Vice President, Operations"
Steven C. Ledbetter(1),,"45Vice President, Commercial"
Sean Guillory (③),,"48 Vice President, Commercial"
James J. Bender,64Director,
Carlos A. Fierro,59 Director,
Rob L. Jones,,62 Director
Anne C. Anderson (4),51 Director,
David A. Connolly (5),46Director,
