Exhibit Number,Exhibit Description,Exhibit Form,IncorporatedbyReierence,Filing Date,SEC File
3.1,"Amended and Restated Certificate of Limited Partnership of Shell Midstream Partners,L.P.",s-1,Number 3.1,06/18/2014,No. 333-196850
3.2,"Second Amended and Restated Agreement of Limited Partnership of Shell Midstream Partners,L.P,dated as of April1,2020",8-K,3.1,4/2/2020,001-36710
3.3,Amended and Restated Certificate of Formation of Shell Midstream Partners GP LLC,S-1,3.3,06/18/2014,333-196850
3.4,"First Amended and Restated Limited Liability CompanyAgreement of Shel Midstream Partners GP LLC,dated as of November 3,2014",8-K,3.2,11/03/2014,001-36710
4.1*,Description of Securities Registered Pursuant to Section 12 of the Securities Exchange Act of,,,,
10.1,"1934 Common Unit Purchase Agreement dated February_1,2018,between Shell Midstream Partners,L.P. and Shell Midstream LP Holdings LLC",8-K,10.1,02/05/2018,001-36710
10.2#,Shell Midstream Partners GP LLC 2014 Long-Term Incentive Plan,8-K,10.4,11/03/2014,001-36710
10.3,"Zydeco VotingAgreement,dated November 3,2014,between Shell Midstream Partners,L.P",8-K,10.5,11/03/2014,001-36710
10.4,"and Shell Pipeline Company LP Contribution Agreement, dated as of May_17,2016,by_and among Shell Pipeline Company.",8-K,10.1,05/17/2016,001-36710
10.5,"LP, Shell Midstream Partners,L.P. and Shell Midstream QperatingLLC Purchase and Sale Agreement, dated as of September 27.2016,by and among Shell Pipeline",8-K,10.1,09/28/2016,001-36710
10.6,"Company LP, Equilon Enterprises LLC d/b/a Shell Oil Products US, Shell Midstream Partners,L.P.and Shell Midstream OperatingLLC Shell Midstream Partners Loan FacilityAgreement,dated as of February_27,2017,between",8-K,10.1,02/27/2017,001-36710
10.7,"Shell Midstream Partners,L.P.and ShellTreasury Center (West) Inc. Purchase and Sale Agreement dated as of May_4,2017.by and among Shell Pipeline Company LP, Shell GOM Pipeline Company LI C, SheIl Chemical LP Shell Midstream",8-K,10.1,05/05/2017,001-36710
10.8,"Partners, L.P, Shell Midstream Operating LLC, Pecten Midstream LLC and Sand Dollar Pipeline LLC Membership Interest Purchase Agreement, effective as of October 16,2017,by_and among",8-K,10.1,10/20/2017,001-36710
10.9,"Shell Midstream Operating LLC and CPB Member LLC Purchase and Sale Agreement dated as of November 22,2017,by_and among ShellPipeline Company LP, Equilon Enterprises LLC d/b/a Shell Oil Products US, Shell Midstream",8-K,10.1,11/28/2017,001-36710
10.10,"Partners,L.P. and Shell Midstream OperatingLLC Shell Midstream Partners Revolving Credit Facility Agreement, dated as of December 1,",8-K,10.1,12/05/2017,001-36710
10.11,"2017,between Shell Midstream Partners,L.P.,as the Borrower,and Shell Treasury Center (West) Inc., as Lender Purchase and Sale Agreement dated May_9,2018, between Shel Midstream Partners,L.P. and",,,,
10.12,"Shell Pipeline Company Ll Shell Midstream Partners,L.P. Fixed Credit Facility,dated August 1,2018,between Shell",8-K 8-K,10.1 10.1,05/14/2018 08/02/2018,001-36710 001-36710
10.13,"Midstream Partners,L.P,as the as the Borrower,and ShellTreasuryCenter (West) Inc.,as the Lender Shell Midstream Partners,L.P. Third Amended and Restated Credit Facility_Agreement, dated",8-K,10.2,08/02/2018,
,"as of August 1,2018,between Shell Midstream Partners,L.P,as the as the Borrower,and Shell Treasury Center (West) Inc.,as the Lender Omnibus Agreement dated effctive February_1,2019 by_and among Shel Pipeline Company.",,,,001-36710
10.14,"LP, Shell Midstream Partners,L.P, Shell Midstream Partners GP LLC and ShellMidstream Qperating LLC Trade Marks License Agreement dated effective February_1,2019 by_and among Shell",10-K,10.18,02/21/2019,001-36710
10.15,"Trademark Management Inc, Shell Pipeline Company LP, Shell Midstream Partners,L.P. and Shell Midstream Partners GP LLC",10-K,10.19,02/21/2019,001-36710
10.16,"Contribution Agreement dated as of May_10, 2019 by and among Shel Pipeline Company LP, Shell Midstream Partners, L.P. and Shel Midstream Operating LLC",8-K,10.1,05/13/2019,001-36710
10.17,"Shell Midstream Partners,L.P. Credit Facility,dated as of June 4,2019,between Shell Midstream Partners,L.P,as the Borrower,and Shell Treasury Center (West) Inc.,as the Lender",8-K,10.1,06/06/2019,001-36710
10.18,"RevolvingLoan Facility_Agreement,dated as of August 6,2019,between Zydeco Pipeline Company LLC,as the Borrower,and Shell Treasury Center (West) Inc.,as the Lender",10-Q,10.3,08/02/2019,001-36710
10.19,"Purchase and Sale Agreement,dated as of February27,2020,by_and among Shell Pipeline Company LP, Shell GOM Pipeline Company LLC, Sheil Chemical LP , Equilon Enterprises LLC d/b/a Shell Oil Products US,ShelfMidstream Partners,L.P. and Iriton West LLC",8-K,10.1,02/28/2020,001-36710
10.20,"Partnership Interests RestructuringAgreement, dated as of February_27,2020,by_and between Shell Midstream Partners, L.P, Shell Midstream Partners GP LLC",8-K,10.2,02/28/2020,001-36710
21*,List of Subsidiaries,,,,
23.1*,Consent of Ernst & Young LLP,,,,
23.2*,Consent of Ernst & Young LLP,,,,
23.3*,Consent of Ernst & Young LLP,,,,
