Leases,Classification,"December 31, 2020"
Assets,,
Operating lease assets,"Operating lease right-of-use assets - related parties, net",
Liabilities,,
Current,,
Operating,Current operating lease liabilities - related parties,"$15,442,076"
Noncurrent,,
Operating,Noncurrent operating lease liabilities - related parties,
Total lease liabilities,Total lease liabilities,
Lease cost,Operating lease cost,Operations and maintenance - related parties
Other information,,
Other information,Cash paid for amounts included in the measurement of lease liabilities:,
