,Total Number ofADSs,Average Price Paid Per,Total Number of ADSs Purchased as Part of the Publicly,Approximate Dollar Value of ADSs that MayYetBe Purchased Under
Period,Purchased,ADS,Announced Plan,the Plan
March 2021,"2,503,192",19.87,"2,503,192","950,266,080.71"
April 2021,"3,827,338",17.61,"6,330,530","882,874,103.37"
May 2021,"8,020,966",15.59,"14,351,496","757,811,273.98"
June 2021,"1,278,518",14.96,"15,630,014","738,687,151.50"
July 2021,"7,671,486",13.05,"23,301,500","638,610,441.50"
August 2021,"17,446,231",7.96,"40,747,731","499,810,442.11"
October 2021,,,"40,747,731","499,810,442.11"
November 2021,,,"40,747,731","499,810,442.11"
December 2021,"8,298,598",6.31,"49,046,329","447,457,875.18"
January 2022,,,"49,046,329","447,457,875.18"
February 2022,,,"49,046,329","447,457,875.18"
March 2022,"7,263,402",5.12,"56,309,731","410,260,298.42"
"April, 2022","17,040,071",4.96,"73,349,802","325,687,216.10"
