Shares held,Shares held,Shares held,Shares held,Shares held,Shares held,Shares held,Shares held,Shares held,Shares held,
,,Share capital,Additional paid-in capital,for share award schemes,Treasury shares,Other reserves,Retained earnings,Total,Non- controlling interests,Total equity
"Balance at January 1, 2021",Note,RMB'million,"RMB'million 35,044",RMB'million,RMB'million,"RMB'million (134) 6,300","RMB'million 11,111","RMB'million 52,245",RMB'million 486,"RMB'million 52,731"
Profit for the year Fair value changes on,,,,(78),,,"3,029","3,029",186,"3,215"
financial assets at fair value through other,,,,,,,,,,
comprehensive income Share of other comprehensive income,,,,,,"(2,128)",,"(2,128)",,"(2,128)"
of associates Currency translation,,,,,,,4,,,4
differences Total comprehensive income,,,,,,,(378),(378),,(378)
for the year Transfer of gains on disposal of,,,,,,"(2,502)","3,029",527,186,713
financial instruments to retained earnings,,,,,,,,56,,
Transactions with equity holders: Expiry of put right of puttable,,,,,,,(56),,,
ordinary shares Exercise of share options/,22,,535,,,,,535,,535
"Restricted share units(""RSUs"") Non-controlling interests arising from business","22,23",,659,,,,(646),48,,48
combination Share-based compensation -,,,,,,,,,75,75
value of employee services Shares held for share award,"23,24",,,,,,647,647,,647
schemes Repurchase of shares,22,,,(105),,,,(105),,(105)
Additional investments in a non-wholly owned,,,,,"(3,561)",,,"(3,561)",,"(3,561)"
subsidiary,,,,,,,(19),(19),,(19)
Disposal of subsidiaries Appropriations to statutory,,,,,,,,,(6),(6)
reserves Dividend to non-controlling,,,,,,,2,(2),,
interests,,,,,,,,,3,3
Total transactions with equity holdersat their,,,,,,,,,,
capacity as equity holders,,,,,,,,,,
for the year,,,"1,194",,,"(3,526)",(16),"(②) (2,455)",66,"(2,389)"
,,,,(105),,,,,,
Balance at,,,,,,,,,,
"December 31,",,,,,,,,,,
2021,,,,,,,,"50,317",738,"51,055"
,,,"36,238",(183),(3.660),3.726,"14,194",,,
