,,Effective for annual periods beginning on or after
Amendments to IAS 28 and IFRS 10,Sale or contribution of assets between an investor and its associate or joint venture,To be determined
IAS 16 (amendments),"Property, plant and equipment: Proceeds before intended use","January 1, 2022"
IAS 37 (amendments),Onerous contract - cost of fulfilling a contract,"January 1, 2022"
Amendments to IFRS,Annual Improvements to IFRS Standards 2018-2020 Cycle,"January 1, 2022"
Amendments to IFRS 3,Reference to the Conceptual Framework,"January 1, 2022"
IAS 1 (amendments),Classification of Liabilities as Current or Non-current,"January 1, 2023"
IFRS 17,Insurance contracts,"January 1, 2023"
Amendments to IAS 1 and IFRS Practice Statement 2,Disclosure of Accounting Policies,"January 1, 2023"
Amendments to IAS 8,Definition of Accounting Estimates,"January 1, 2023"
Amendments to IAS 12,Deferred Tax related to Assets and Liabilities arising from a Single Transaction,"January 1, 2023"
