"Balance January 1, 2019",Number of issued shares*,Share capital RMB'million,Additional paid-in capital RMB'million,Shares held for share award schemes RMB'million,Treasury Shares RMB'million
"Balance January 1, 2019","(US$0.000083 par value; 4,800,000,000 shares authorized)","3,265,986,486",2,"33,776","—,—"
Issuance of ordinary shares (note i),"280,512",—,12,—,"—,—"
Employee share award schemes,—,—,—,637,"—,—"
-value of employee service,—,—,—,—,"—,—"
-Shares held for share award schemes (note ii),—,—,—,—,"(31),—"
-Shares allotted and issued for share award schemes (note iii),"88,798,940",—,—,—,"—,—"
"Balance December 31, 2019","(US$0.000083 par value; 4,800,000,000 shares authorized)","3,355,065,938",2,"34,425","(31),—"
Employee share award schemes,—,—,—,619,"—,—"
-value of employee service,—,—,—,—,"—,—"
-Shares held for share award schemes (note ii),—,—,—,—,"(47),—"
-Shares allotted and issued for share award schemes (note iii),"30,077,800",—,—,—,"—,—"
Repurchase of ordinary shares (note iv),—,—,—,—,"—,(134)"
"Balance December 31, 2020","(US$0.000083 par value; 4,800,000,000 shares authorized)","3,385,143,738",2,"35,044","(78),(134)"
Expiry of put right of puttable ordinary shares (Note 26 (ii)),—,—,535,—,"—,—"
Employee share award schemes,—,—,—,659,"—,35"
-value of employee service,—,—,—,—,"—,—"
-Shares held for share award schemes (note ii),—,—,—,—,"(105),—"
Issuance of ordinary shares,"5,010,526",—,—,—,"—,—"
Repurchase of ordinary shares (note iv),—,—,—,—,"—,(3,561)"
"Balance December 31, 2021","(US$0.000083 par value; 4,800,000,000 shares authorized)","3,390,154,264",2,"36,238","(183),(3,660)"
