Parent,VIE and its consolidated subsidiaries,WOFEs,Other subsidiaries (RMB in millions),Eliminating adjustments,Consolidated totals,Net cash (outflow)/inflow from operating activities,Net cash (outflow)/inflow from investing activities,Net cash inflow/(outflow) from financing activities,Net (decrease)/increase in cash and cash equivalents,"Cash and cash equivalents, beginning of the year",Exchange differences on cash and cash equivalents,"Cash and cash equivalents, end of the year"
(67),454,"4,574",(76),,"4,885",(67),454,"4,574",(76),,"4,885",
,,,,,,"(10,230)","(10,230)",,,,,
,,,,,,"(1,099)","(1,099)",,,,,
,,,,,,"(3,535)","(3,535)",,,,,
,,,,,,(710),(710),e,"(4,914)","1,368f","(1,368)f","(14,206)"
,,,,,,,,,,,,
,,,,,,"5,383",715,(86),648,"(1,368)f","(1,368)f","5,292"
,,,,,,,,,,,,
,,,,,,"(4,914)","70,953",(138),,,,"(4,029)"
,,,,,,,,,,,,
,,,,,,"10,870","1,327","2,999",230,,,"15,426"
,,,,,,(270),,,1,,,(269)
,,,,,,"5,686","1,397","3,952",93,,,"11,128"
