Executives,-2010,2011-2015,2016-2021,Current
Number of Directors (total),27,2011-2016: between 11 and 16 (temporarily increased due to the introduction of Outside Directors),2017: 9,
Outside Directors,,2013: 3,,
Executive Vice Presidents,,2011-2020: between 4 and 7,,
Senior Managing/Managing Officers,64,2011-2018: between 42 and 49,June 2021: 11,
Operating Officers,,,,
Advisors/Senior Advisors,,2011-2017: between 55 and 68,"2018: 9 due to organizational changes, July 2020: 0",
Region,,2013: Restructuring of groups,,
Company,,,2016: Introduction (from function-based to product-based),
Audit & Supervisory Board Members (total),,7,2014: 6,
Outside Audit & Supervisory Board Members,,4,2014: 3,
Meetings,,,2017: Outside Members accounting for half,2019: Outside Members accounting for a majority
Executive Appointment,,,,
Compensation,,2007-2014: CSR Committee,2014: Corporate Governance Meeting,2018: Sustainability Meeting
Sustainability,,,,
April 2011,Reduced the number of Members of the Board of Directors from 27 to 11 members (currently 9 members),,,
,Reduced decision making layers (discontinuing the positions of executives responsible for the operations involved and introduced the two-tiered arrangement of Executive Vice President and Chief Officer),,,
,Made flexible assignment of Senior Managing Officer or Managing Officer to Chief Officer post (abolition of Senior Managing Director),,,
,Established the role of Executive General Manager,,,
,"Stationing of, in principle, regional chief officers in their respective regions",,,
April 2013,Established business units,,,
,Reorganized regional groups,,,
,Appointed Outside Board Members,,,
April 2015,Changed the roles of officers,,,
,Enhancement of diversity (appointing non-Japanese executives and female executives),,,
April 2016,"Established in-house companies, shift from functional to product-based focus",,,
April 2017,Further clarification of the responsibilities of Members of the Board of Directors as decision making and management oversight and of Operating Officers as operational execution,,,
,Reduced the number of Members of the Board of Directors (including Outside Directors) to 9 (June),,,
,Changed the system of advisors and senior advisor system,,,
,"Increased appointment of people with high expertise from both within and outside of the Company (the Toyota Group, people with technical positions, backgrounds, etc.)",,,
,"Executive Vice President, in addition to supporting the President, personally leads the field as an in-house company president and organizational group chief officers",,,
,Newly established a fellow system to secure people with high level of specialist expertise and expand the breadth of executive human resource development,,,
,Created a new classification: \senior professional/senior management,"\"" integration of Managing Officer", Executive General Manager,"(sub-executive managerial level) Senior Grade 1 and Senior Grade 2 Manager,and Grand Master"",,,"
,"Discontinued use of Field General Manager rank, shifting to Senior General Manager and Fellow",,,
,Integrated the roles of Executive Vice President and Operating Officer into Operating Officer,,,
,Further clarified the roles of Operating Officers,,,
October 2017,,,,
January 2018,,,,
January 2019,,,,
January 2020,,,,
April 2020,,,,
July 2020,,,,
