(in millions) Year,"Net Incurred Medical Costs For the Years Ended December 31,","Net Incurred Medical Costs For the Years Ended December 31,","Net Incurred Medical Costs For the Years Ended December 31,","Net Incurred Medical Costs For the Years Ended December 31,"
(in millions) Year,2019,,,2020
2019,$,"157,020",$,"156,217"
2020,,,,"160,276"
Total,,,$,"316,493"
(in millions),"Net Cumulative Medical Payments For the Years Ended December 31,","Net Cumulative Medical Payments For the Years Ended December 31,","Net Cumulative Medical Payments For the Years Ended December 31,","Net Cumulative Medical Payments For the Years Ended December 31,"
Year,2019,,,2020
2019,$,"(137,155)",$,"(155,150)"
2020,,,,"(139,974)"
Total Net remaining outstanding liabilities prior to 2019,,,,"(295,124) 503"
Total medical costs payable,,$,,"21,872"
