"(in millions, except per share amounts)","For the Years Ended December 31,",,
2020,2019,2018,
Stock Options,Weighted-average grant date fair value of shares granted,"per share,$ 54","$ 46,$ 43"
,Total intrinsic value of stock options exercised,"1,736","1,398,1,431"
Restricted Shares,Weighted-average grant date fair value of shares granted,"per share,303","259,229"
,Total fair value of restricted shares vested,574,"545,521"
Employee Stock Purchase Plan,Number of shares purchased,1,"1,2"
Share-Based Compensation Items,Share-based compensation expense,"before tax,679","697,638"
,,"net of tax effects,619","641,587"
,,Income tax benefit realized from share-based award exercises,"208,201,239"
"(in millions, except years)","December 31, 2020",,
Unrecognized compensation expense related to share awards,$ 805,,
Weighted-average years to recognize compensation expense,1.4,,
