(in millions),2021,2020,2019,,Term loans by origination year,Term loans by origination year,Revolving,loans converted toterm,
"December 31,2021",,,,2018,2017,Prior,loans,loans,Total
By FICO:,,,,,,,,,
Residentialmortgage-firstlien,,,,,,,,,
800+,"35,935","27,396","16,583","5,153","9,430","37,495","2,554",469,"135,015"
760-799,"23,645","9,814","5,412","1,464","2,485","10,509","1,073",265,"54,667"
720-759,"7,842","3,083","1,980",642,"1,137","6,277",646,238,"21,845"
680-719,"1,986",876,645,283,501,"3,682",393,206,"8,572"
640-679,449,233,187,89,129,"1,851",188,146,"3,272"
600-639,101,63,46,31,41,"1,035",102,89,"1,508"
< 600,15,13,24,19,41,"1,083",114,124,"1,433"
No FICO available,161,162,117,65,95,"1,598",243,359,"2,800"
Government insured/guaranteed loans (1),14,134,209,349,364,"12,088",1,一,"13,158"
Totalresidential mortgage-first lien,"70,148","41,774","25,203","8,095","14,223","75,618","5,313","1,896","242,270"
Residential mortgage-juniorlien,,,,,,,,,
800+,,,,一,,188,"5,512","1,481","7,181"
760-799,,,一,一,,110,"2,154",828,"3,092"
720-759,,,,一,,130,"1,462",790,"2,382"
680-719,,,,,,118,881,633,"1,632"
640-679,,,,,,65,325,338,728
600-639,,,,一,一,39,160,208,407
< 600,一,,,一,一,43,164,215,422
No FICO available,28,20,31,27,22,69,334,243,774
Total residential mortgage-junior lien,28,20,31,27,22,762,"10,992","4,736","16,618"
Credit card,,,,,,,,,
800+,,,,,,一,"4,247",1,"4,248"
760-799,,,,,,,"6,053",7,"6,060"
720-759,,,,,,,"8,475",26,"8,501"
680-719,,,,,,,"9,136",50,"9,186"
640-679,,,,,,,"5,850",47,"5,897"
600-639,,,,,,,"2,298",31,"2,329"
< 600,,,,,,,"2,067",47,"2,114"
No FICO available,,,,,,,117,1,118
Total credit card,,,,,,,"38,243",210,"38,453"
Auto,,,,,,,,,
800+,"4,688","1,983","1,680",690,318,108,,,"9,467"
760-799,"4,967","2,123","1,586",586,234,87,,,"9,583"
720-759,"4,789","2,104","1,503",583,241,106,,,"9,326"
680-719,"5,005","2,282","1,441",526,218,111,,,"9,583"
640-679,"4,611","1,824","1,025",369,160,99,,,"8,088 5,301"
600-639 < 600,"3,118 2,372","1,114 1,236",617 853,243 376,117 193,92 187,,,
