(in millions),"Dec31, 2021","Dec31, 2020"
Repurchase agreements:,,
Securities of U.S.Treasury and federal agencies,"14,956","22,922"
Securities of U.S.States and political subdivisions,,4
Federal agency mortgage-backed securities,"3,432","15,353"
Non-agency mortgage-backed securities,809,"1,069"
Corporate debt securities,"8,899","9,944"
Asset-backed securities,358,"1,054"
Equity securities,919,"1,500"
Other,409,336
Total repurchases,"29,783","52,182"
Securities lending arrangements:,,
Securities of U.S.Treasury and federal agencies,33,64
Federalagency mortgage-backed securities,17,23
Corporate debt securities,80,79
Equity securities (1),"5,050","5,189"
Other,80,85
Total securities lending,,"5,440"
Total repurchases and securities lending,,"57,622"
