,2021,2021,2021,2020,2020,2020
(in millions),Amount,Rate,Amount,Rate,Amount,Rate
Statutory federal income tax expense and rate,"$ 5,697",21.0%$,466,21.0% $,"5,350",21.0%
Change in tax rate resulting from:,,,,,,
"State and local taxes on income,net of federal income tax benefit","1,046",3.9,65,2.8,944,3.7
Tax-exempt interest,(316),(1.2),(358),(16.1),(460),(1.8)
"Tax credits,net of amortization (2)","(1,001)",(3.7),(626),(28.2),(530),(2.1)
Nondeductible expenses (3),368,1.4,199,9.0,800,3.1
"Changes in prior year unrecognized tax benefits,inclusive of interest",(122),(0.4),（938),(42.2),(88),(0.3)
Other,,(0.4),35,1.6,(255),(1.0)
Effective income tax expense (benefit) and rate,"$ 5,578",(94),"20.6%$ (1,157)",,"(52.1)% $ 5,761",22.6%
