Dec 31, 2021,Dec 31, 2020
Assets,Cash, cash equivalents,"and restricted cash due from subsidiary banks,$ 15,134,$ 14,817"
Assets,Loans to nonbank subsidiaries,"185,050","185,046"
Assets,Investments in subsidiaries (1) (2),"172,926","172,637"
Assets,Equity securities,140,144
Assets,Other assets,"7,341","5,857"
Assets,Total assets,"$ 380,591","$ 378,501"
Liabilities and equity,Accrued expenses and other liabilities,"$ 7,333","$ 8,249"
Liabilities and equity,Long-term debt,"146,082","181,956"
Liabilities and equity,Indebtedness to nonbank subsidiaries,"39,570","3,616"
Liabilities and equity,Total liabilities,"$ 192,985","$ 193,821"
Liabilities and equity,Stockholders' equity (1),"187,606","184,680"
Liabilities and equity,Total liabilities and equity,"$ 380,591","$ 378,501"
