,2021,2020,$Change 2021/ 2020,% Change 2021/,2019,$Change 2020/ 2019,%Change 2020/ 2019
(in millions) Personnel,"$ 35,541","34,811",730,2020 2%,"$ 35,128",(317),(1)%
"Technology,telecommunications and equipment","3,227","3,099",128,4,"3,276",(177),(5)
Occupancy,"2,968","3,263",(295),(9),"2,945",318,11
Operating losses,"1,568","3,523","(1,955)",(55),"4,321",(798),(18)
Professional and outside services,"5,723","6,706",(983),(15),"6,745",(39),(1)
Leases (1),867,"1,022",(155),(15),"1,155",(133),(12)
Advertising and promotion,600,600,1,1,"1,076",(476),(44)
Restructuring charges,76,"1,499","(1,423)",(95),,"1,499",NM
Other,"3,261","3,107",154,5,"1 3,532",(425),(12)
Total,"$ 53,831","57,630","(3,799)",(7),"$ 58,178",(548),(1)
