,,,$Change,%Change,,,$Change 2020/,% Change
(in millions),2021,,2020,2021/ 2020,2021/ 2020,2019,2019,2020/ 2019
Selected Balance Sheet Data (average),,,,,,,,
Loans:,,,,,,,,
Commercial and industrial,,"$120,396","143,263","(22,867)",(16)%,"$157,829","(14,566)",(9)%
Commercial real estate,,"47,018","52,220","(5,202)",(10),"54,416","(2,196)",(4)
Lease financing and other,,"13,823","15,953","(2,130)",(13),"17,109","(1,156)",（7)
Total loans,,"$181,237","211,436","(30,199)",(14),"$229,354","(17,918)",(8)
Loans by Line of Business:,,,,,,,,
Middle Market Banking,,"$ 102,882","112,848","(9,966)",（9）,"$119,717","(6,869)",(6
Asset-Based Lending and Leasing,,"78,355","98,588","(20,233)",(21),"109,637","(11,049)",(10)
Total loans,,"$181,237","211,436","(30,199)",(14),"$229,354","(17,918)",(8)
Total deposits,,"197,269","178,946","18,323",10,"159,763","19,183",12
Allocated capital,,"19,500","19,500",1,1,"20,500","(1,000)",(5)
Selected Balance Sheet Data (period-end),,,,,,,,
Loans:,,,,,,,,
Commercial and industrial,,"$131,078","124,253","6,825",5,"$153,601","(29,348)",(19)
Commercial real estate,,"45,467","49,903","(4,436)",（9),"53,526","(3,623)",(7)
Lease financing and other,,"13,803","14,821","(1,018)",（7),"17,654","(2,833)",(16)
Total loans,,"$190,348","188,977","1,371",1,"$224,781","(35,804)",(16)
Loans by Line of Business:,,,,,,,,
Middle Market Banking,,"$106,834","101,193","5,641",6,"$115,187","(13,994)",(12)
Asset-Based Lending and Leasing,,"83,514","87,784","(4,270)",(5),"109,594","(21,810)",(20)
Total loans,,"$190,348","188,977","1,371",1,"$ 224,781","(35,804)",(16)
Total deposits,,"205,428","188,292","17,136",9,"168,081","20,211",12
