,"Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,"
,,,$Change 2021/,% Change 2021/,,$Change 2020/,% Change 2020/
(in millions),2021,2020,2020,2020,2019,2019,2019
Selected Balance Sheet Data (average),,,,,,,
"Cash,cash equivalents,and restricted cash","$236,124","183,420","52,704",29%,"$130,532","52,888",41%
Available-for-sale debt securities,"181,841","221,493","(39,652)",(18),"252,099","(30,606)",(12)
Held-to-maturity debt securities,"244,735","172,755","71,980",42,"147,303","25,452",17
Equity securities,"12,720","12,445",275,2,"13,188",(743),(6)
Total loans,"9,766","19,790","(10,024)",(51),"18,540","1,250",7
Total assets,"743,089","675,250","67,839",10,"623,075","52,175",8
Total deposits,"40,066","78,172","(38,106)",(49),"119,638","(41,466)",(35)
Selected Balance Sheet Data (period-end),,,,,,,
"Cash,cash equivalents,and restricted cash","$ 209,696","235,262","(25,566)",(11),"$ 111,408","123,854",111
Available-for-sale debt securities,"165,926","208,694","(42,768)",(20),"250,801","(42,107)",(17)
Held-to-maturity debt securities,"269,285","204,858","64,427",31,"153,142","51,716",34
Equity securities,"16,549","10,305","6,244",61,"13,770","(3,465)",(25)
Total loans,"9,997","10,623",(626),(6),"21,906","(11,283)",(52)
Total assets,"721,335","728,667","(7,332)",(1),"610,673","117,994",19
Total deposits,"32,220","53,037","(20,817)",(39),"102,429","(49,392)",(48)
