,"Year ended December 31,","Year ended December 31,"
(in millions),2021,2020
Commercial TDRs,,
"Balance, beginning of period","2,731","1,901"
Inflows (1),746,"2,775"
Outflows,,
Charge-offs,(141),(265)
Foreclosure,(5),1
"Payments,sales and other (2)","(1,983)","(1,680)"
"Balance,end of period","1,348","2,731"
Consumer TDRs,,
"Balance,beginning of period","11,792","9,882"
Inflows (1),"1,665","4,768"
Outflows,,
Charge-offs,(185),(224)
Foreclosure,(56),(77)
"Payments,sales and other (2)","(4,363)","(2,532)"
Net change in trial modifications (3),(19),(25)
"Balance,end of period","8,834","11,792"
Total TDRs,"10,182","14,523"
