,Standardized Approach,Standardized Approach,Advanced Approach,Advanced Approach
(in millions),"Dec31, 2021","Dec31, 2020","Dec31, 2021","Dec31, 2020"
Total equity (1),"190,110","185,712","190,110","185,712"
Effect of accounting policy changes (1),1,208,1,208
Total equity (as reported),"190,110","185,920","190,110","185,920"
Adjustments:,,,,
Preferred stock,"(20,057)","(21,136)","(20,057)","(21,136)"
Additional paid-in capital on preferred stock,,152,136,152
Unearned ESOP shares,,875,646,875
Noncontrolling interests,"(2,504)","(1,033)","(2,504)","(1,033)"
Total common stockholders'equity,"168,331","164,778","168,331","164,778"
Adjustments:,,,,
Goodwill,"(25,180)","(26,392) (342)","(25,180)","(26,392)"
Certain identifiable intangible assets (other than MSRs),(225),,(225),(342)
Goodwilland other intangibles on nonmarketable equity securities (included in other assets),"(2,437)","(1,965)","(2,437)","(1,965)"
Applicable deferred taxes related to goodwill and other intangible assets (2),765,856,765,856
CECL transition provision (3),241,"1,720",241,"1,720"
Other,(852),(358),(852),(358)
Common Equity Tier1,,"140,643","140,643","138,297"
Preferred stock,"20,057","21,136","20,057","21,136"
Additional paid-in capital on preferred stock,,(152) (875),(136),(152)
Unearned ESOP shares,,,(646) (247),(875)
Other,,(247),,(210)
Total Tier l capital,$,"159,671","158,196","159,671"
Long-term debt and other instruments qualifying as Tier 2,,"22,740","24,387","24,387"
Qualifying allowance for credit losses (4),,"14,149","14,134","4,408"
Other,,(279),(188),(188)
Total Tier 2capital (fully phased-in),$,"36,610","38,333","28,607"
Effect of Basel Illtransition requirements,,27,131,27
Total Tier 2 capital (Basel Illtransition requirements),$,"36,637","38,464",
Total qualifying capital (fully phased-in),(A)+(B),"196,281","196,529","186,553"
Total Effect of Basel Ill transition requirements,,27,131,"186,803 27"
Total qualifying capital (Basel Ill transition requirements),$,"196,308","196,660","186,934"
Risk-Weighted Assets (RWAs)(5):,,,,
Credit risk,,"1,186,810","1,125,813 $","752,999"
Market risk,,"52,216","67,931","67,931"
Operational risk,,,"316,138","337,425"
Total RWAs,"1,239,026","1,193,744","1,116,068","1,158,355"
