,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
,,Canada/,,,,,,
United States,,Other Americas,Europe,Africa,Asia,Australia/ Oceania,Total,Oil-Equivalent Total All Products (1)
,,,(billions ofcubic feet),,,,,(millions ofoil- equivalent
Net proved developed and undeveloped reserves of consolidated subsidiaries,,,,,,,,barrels)
"January 1,2018","19,033","1,372","1,368",595,"4,340","6,894","33,602","15,903"
Revisions,(98),(29),306,38,(147),"1,065","1,135","3,626"
Improved recovery,,,,,,,,36
Purchases,104,,,,,,104,27
Sales,(264),(3),(4),,,,(271),(71)
Extensions/discoveries,"3,658",506,3,,1,7,"4,175","1,654"
Production,"(1,030)",(102),(361),(45),(353),(504),"(2,395)","(1,097)"
"December 31,2018","21,403","1,744","1,312",588,"3,841","7,462","36,350","20,078"
Attributable to noncontrolling interests,,334,,,,,,
Proportional interest in proved reserves,,,,,,,,
"of equity companies January 1,2018",,,"6,164",,"14,248",,,
Revisions,223 12,,"(4,801)",914 (51),102,,"21,549 (4,738)","5,318 (753)"
Improved recovery,,,,,,,,
Purchases Sales,,,(38),,,,,
Extensions/discoveries,,,,,,,(38),(6)
Production,2,,(268),,,,2,1
"December 31,2018",(12),,"1,057",,"(1,029)",,"(1,309)",(345)
"Total proved reserves at December 31,2018","225 21,628","1,744","2,369","863 1,451","13,321 17,162","7,462","15,466 51,816","4,215 24,293"
Net proved developed and undeveloped,,,,,,,,
"reserves of consolidated subsidiaries January 1, 2019","21,403","1,744","1,312",,"3,841",,"36,350","20,078"
Revisions,"(3,213)",(301),41,588 (171),953,"7,462 39","(2,652)","(1,599)"
Improved recovery,,,,,,,,丨
Purchases,85,,,,,,85,47
Sales,(297),(29),(416),,,,(742),(269)
Extensions/discoveries,"2,151",166,,,,,"2,317","1,484"
Production,,,,,,,,
"December 31,2019","(1,103) 19,026",(114),(316),(40),(361),(500),"(2,434)","(1,145)"
Attributable to noncontrolling interests,,"1,466 256",621,377,"4,433","7,001","32,924","18,596"
Proportional interest in proved reserves,,,,,,,,
"of equity companies January 1,2019",,,,,,,,"4,215"
Revisions,225 (1),,"1,057 (238)",863 45,"13,321 142",,"15,466 (52)",(29)
Improved recovery,,,,,,,,
Purchases,,,,,,,,
Sales,,,,,,,,
Extensions/discoveries,1,,,,,,1,1
Production,(12),,(238),,"(1,009)",,"(1,259)",(338)
"December 31,2019",213,,581,908,"12,454",,"14,156",
"Total proved reserves at December 31,2019","19,239","1,466","1,202","1,285","16,887","7,001","47,080","3,849 22,445"
