Consolidated and Equity Interests (continued),Consolidated Subsidiaries,Share of Equity Method Investees,Total Consolidated and Equity Interests
"Discounted future net cash flows as of December 31, 2019",67500,22416,89916
"Value of reserves added during the year due to extensions, discoveries, improved recovery and net purchases/sales less related costs",169,-,169
Changes in value of previous-year reserves due to:,,,
"Sales and transfers of oil and gas produced during the year, net of production (lifting) costs",(15048),(3818),(18866)
Development costs incurred during the year,9969,1760,11729
"Net change in prices, lifting and development costs",(80444),(21739),(102183)
Revisions of previous reserves estimates,2614,680,3294
Accretion of discount,10786,3011,13797
Net change in income taxes,31008,6131,37139
Total change in the standardized measure during the year,(40946),(13975),(54921)
"Discounted future net cash flows as of December 31, 2020",26554,8441,34995
