,Year-End 2020,Year-End 2020,Year-End 2019,Year-End 2019
,Gross,Net,Gross,Net
,(thousands of acres),(thousands of acres),(thousands of acres),(thousands of acres)
Gross and Net Developed Acreage,,,,
Consolidated Subsidiaries,,,,
United States,"12,834","7,971","13,283","8,097"
Canada/Other Americas (l),"2,944","2,071","3,020","2,100"
Europe,"2,231","1,189","2,229","1,182"
Africa,"2,409",818,"2,409",832
Asia,"1,938",561,"1,938",561
Australia/Oceania,"3,262","1,068","3,262","1,068"
Total Consolidated Subsidiaries,"25,618","13,678","26,141","13,840"
Equity Companies,,,,
United States,928,208,926,207
Europe,"3,667","1,118","4,069","1,280"
Asia,701,160,628,155
Total Equity Companies,"5,296","1,486","5,623","1,642"
Total gross and net developed acreage,"30,914","15,164","31,764","15,482"
