Ethylene,Polyethylene,Polypropylene,Paraxylene,ExxonMobil Interest %
(millions of metric tons per year),Baton Rouge,Louisiana,1.1,"1.3,0.4,,"
Baytown,Texas,3.9,,"0.7,0.6,,"
Beaumont,Texas,0.9,1.7,",0.3,,"
Mont Belvieu,Texas,,2.3,",,"
Sarnia,Ontario,0.3,0.5,",,"
Total North America,6.2,5.8,1.1,"0.9,,"
Antwerp,Belgium,,0.4,",,"
Fife,United Kingdom,0.4,,","
Gravenchon,France,0.4,0.4,"0.3,,"
Meerhout,Belgium,,0.5,",,"
Rotterdam,Netherlands,,0.7,",,"
Total Europe,0.8,1.3,0.3,"0.7,,"
Al Jubail,Saudi Arabia,0.6,0.7,",50,"
Yanbu,Saudi Arabia,1.0,0.7,"0.2,,50,"
Total Middle East,1.6,1.4,0.2,",,"
Fujian,China,0.3,0.2,"0.2,0.2,25,"
Singapore,Singapore,1.9,1.9,"0.9,1.8,100,"
Sriracha,Thailand,,0.5,",66,"
Total Asia Pacific,2.2,2.1,1.1,"2.5,,"
Total Worldwide,10.8,10.6,2.7,"4.1,,"
