,Percentage Ownership Interest
Upstream,
Aera Energy LLC,48
Barzan Gas Company Limited,7
BEBErdgas und Erdoel GmbH& Co.KG,50
Cameroon Oil Transportation Company S.A.,41
Caspian Pipeline Consortium - Kazakhstan,8
"CORAL FLNG, S.A.",25
"Cross Timbers Energy, LLC",50
Golden Pass LNG Terminal LLC,30
Golden Pass Pipeline LLC,30
Marine Well Containment Company LLC,10
"Mozambique Rovuma Venture, S.p.A.",36
Nederlandse Aardolie Maatschappij B.V.,50
Papua New Guinea Liquefied Natural Gas Global Company LDC,33
Permian Highway Pipeline LLC,20
Qatar Liquefied Gas Company Limited,10
Qatar Liquefied Gas Company Limited (2),24
Ras Laffan Liquefied Natural Gas Company Limited,25
Ras Laffan Liquefied Natural Gas Company Limited (I),31
Ras Laffan Liquefied Natural Gas Company Limited (3),30
South Hook LNG Terminal Company Limited,24
"Tengizchevroil,",25
Terminale GNL Adriatico S.r.l.,71
Downstream,
Alberta Products Pipe Line Ltd.,45
Fujian Refining & Petrochemical Co.Ltd.,25
Permian Express Partners LLC,12
Saudi Aramco Mobil Refinery Company Ltd.,50
Chemical Al-Jubail Petrochemical Company,
,50
Gulf Coast Growth Ventures LLC,50
Saudi Yanbu Petrochemical Co.,50
