Reserves and surplus,Items of other comprehensive income,Equity attributable to shareholders of the Company,Non-controlling interests,Total equity
Capital reserve,Capital redemption reserve,General reserve,Special Economic Zone re-investment reserve,"Retained earnings,Statutory reserve,Investment revaluation reserve,Cash flow hedging reserve,Intrinsic value,Time value,Foreign currency translation reserve,Equity attributable to shareholders of the Company,Non-controlling interests,Total equity"
75,431,27,994,"85,520,348,192,-,134,-,1,380,89,071,453,89,524"
75,431,27,994,"85,163,348,192,134,-,(30),1,380,88,714,451,89,165"
,,,,"32,340,,604,(89),(38),-,286,424,107,32,447"
,,,,"(339),,,,,,40,,464"
,,,,"32,001,,604,(89),(38),-,286,32,764,147,32,911"
,,,,"(37,634),,,,,,(37,634),,(68),(37,702)"
,,,,"(93),,,,,,(93),,93,"
,,,,"2,947,(2,947),-,-,-,-,-,-,-,-"
,,,,"(2,347),2,347,-,-,-,-,-,-,-,-"
,,,,"(27),27,-,-,-,-,-,-,-,-"
,,,,"1,594,78,810,375,796,45,(68),1,666,83,751,623,84,374"
