As at,As at,As at,As at
March 31, 2020,March 31,"2019,March 31,2020,March 31,2019"
Equity shares,Equity shares,Equity shares,Equity shares
Holding company,Holding company,Holding company,Holding company
"270,24,50,947 equity shares (March 31,","270,24,50,947 equity shares)",270,270
"2019: 270,24,50,947 equity shares) are",,,
held by Tata Sons Private Limited,,,
Subsidiaries and Associates of,Subsidiaries and Associates of,Subsidiaries and Associates of,Subsidiaries and Associates of
Holding company,Holding company,Holding company,Holding company
"7,220 equity shares (March 31, 2019:",,,
7,"220 equity shares) are held by""",,","
Tata Industries Limited*,,,
"10,36,269 equity shares (March 31,",,,
2019: 10,36,"269 equity shares) are""",",,"
held by Tata Investment Corporation,,,
Limited*,,,
"46,798 equity shares (March 31, 2019:",,,
46,"798 equity shares) are held by""",,","
Tata Steel Limited*,,,
"766 equity shares (March 31, 2019:",,,
"766 equity shares) are held by""",,,
The Tata Power Company Limited*,,,
,,270,270
