As at,As at,Mar 31,2020,Mar 31,2019
Investment revaluation reserve,Mar 31,2020,Mar 31,2019,"Mar 31,2020,Mar 31,2019"
(i),Opening balance,192,(84),,
(ii),Realised loss on equity shares carried at fair value through OCI,-,1,,
(iii),Change during the year (net),604,275,604,275
,796,192,796,192,
Cash flow hedging reserve (Refer note 8(j)),Mar 31,2020,Mar 31,2019,"Mar 31,2020,Mar 31,2019"
(i),Opening balance,104,(71),,
(ii),Change during the year (net),(127),175,(127),175
,23,104,23,104,
Foreign currency translation reserve,Mar 31,2020,Mar 31,2019,"Mar 31,2020,Mar 31,2019"
(i),Opening balance,1380,1474,1380,1474
(ii),Change during the year (net),286,(94),286,(94)
,1666,1380,1666,1380,
,83751,89071,83751,89071,
