Note,As at March 31, 2020,As at March 31, 2019
Property, plant and equipment,8(a),9835,9522
Capital work-in-progress,8(a),781,834,
Right-of-use assets,7,6048,-,
Intangible assets,8(b),239,139,
Financial assets,6(a),2189,2189,
Investments,6(a),2189,2189,
Trade receivables,6(b),74,95,
Unbilled receivables,6(b),324,387,
Loans receivables,6(e),2,2,
Other financial assets,6(f),624,565,
Income tax assets (net),15,2020,3598,
Deferred tax assets (net),15,2219,2097,
Other assets,8(c),1426,1040,
Total non-current assets,15,25781,20468,
