In numbers,Currency,Face value per share,Investment in subsidiaries,"As at March 31, 2020","As at March 31, 2019"
1000,SEK,,Tata Consultancy Services Sverige AB 100,19,19
1,EUR,-,Tata Consultancy Services Deutschland GmbH,2,2
20000,USD,10,Tata America International Corporation,453,453
7582820,SGD,1,Tata Consultancy Services Asia Pacific Pte Ltd.,19,19
37258815,AUD,1,TCS FNS Pty Limited,212,212
10000001,GBP,1,Diligenta Limited,429,429
1000,USD,-,Tata Consultancy Services Canada Inc.*,,
100,CAD,70653.61,Tata Consultancy Services Canada Inc.,31,31
51000000,INR,10,C-Edge Technologies Limited,5,5
890000,INR,10,MP Online Limited,1,1
140000000,ZAR,1,Tata Consultancy Services (Africa) (PTY) Ltd.,66,66
1889005,INR,10,MahaOnline Limited,2,2
-,QAR,-,Tata Consultancy Services Qatar S.S.C.,2,2
